model,slice_index,dice
AttentionUNet,85,0.9070734977722168
AttentionUNet,86,0.8659147620201111
AttentionUNet,87,0.8065159320831299
AttentionUNet,88,0.8409395813941956
AttentionUNet,89,0.9018987417221069
AttentionUNet,90,1.0
AttentionUNet,91,1.0
AttentionUNet,92,1.0
AttentionUNet,93,1.0
AttentionUNet,94,1.0
AttentionUNet,95,1.0
AttentionUNet,96,0.0
UNet++,0,1.0
UNet++,1,1.0
UNet++,2,1.0
UNet++,3,1.0
UNet++,4,1.0
UNet++,5,1.0
UNet++,6,1.0
UNet++,7,1.0
UNet++,8,1.0
UNet++,9,1.0
UNet++,10,0.7526236772537231
UNet++,11,0.8113647103309631
UNet++,12,0.9487179517745972
UNet++,13,0.9313687682151794
UNet++,14,0.9651181697845459
UNet++,15,0.9809550642967224
UNet++,16,0.9699841737747192
UNet++,17,0.9783211350440979
UNet++,18,0.8957593441009521
UNet++,19,0.8949913382530212
UNet++,20,0.927139937877655
UNet++,21,0.8772702217102051
UNet++,22,0.8367487192153931
UNet++,23,0.9120278358459473
UNet++,24,0.9624213576316833
UNet++,25,0.9568726420402527
UNet++,26,0.9078085422515869
UNet++,27,1.0
UNet++,28,1.0
UNet++,29,1.0
UNet++,30,1.0
UNet++,31,1.0
UNet++,32,1.0
UNet++,33,1.0
UNet++,34,1.0
UNet++,35,1.0
UNet++,36,1.0
UNet++,37,1.0
UNet++,38,1.0
UNet++,39,1.0
UNet++,40,1.0
UNet++,41,1.0
UNet++,42,1.0
UNet++,43,1.0
UNet++,44,0.675000011920929
UNet++,45,0.8108108043670654
UNet++,46,0.8940678238868713
UNet++,47,0.8989169597625732
UNet++,48,0.9138755798339844
UNet++,49,0.774980902671814
UNet++,50,0.9108825922012329
UNet++,51,0.925623893737793
UNet++,52,0.9390787482261658
UNet++,53,0.9634270668029785
UNet++,54,0.9711692333221436
UNet++,55,0.9700085520744324
UNet++,56,0.963225245475769
UNet++,57,0.9671762585639954
UNet++,58,0.9536570310592651
UNet++,59,0.9144414067268372
UNet++,60,0.9586145877838135
UNet++,61,0.9535941481590271
UNet++,62,0.875
UNet++,63,1.0
UNet++,64,1.0
UNet++,65,1.0
UNet++,66,1.0
UNet++,67,1.0
UNet++,68,1.0
UNet++,69,1.0
UNet++,70,1.0
UNet++,71,1.0
UNet++,72,0.6479591727256775
UNet++,73,0.8634615540504456
UNet++,74,0.9033412933349609
UNet++,75,0.9322034120559692
UNet++,76,0.9392096996307373
UNet++,77,0.9009523987770081
UNet++,78,0.9263707399368286
UNet++,79,0.9475524425506592
UNet++,80,0.8568257689476013
UNet++,81,0.9143535494804382
UNet++,82,0.953013002872467
UNet++,83,0.9694246053695679
UNet++,84,0.9708650708198547
UNet++,85,0.9538461565971375
UNet++,86,0.8594977259635925
UNet++,87,0.9277984499931335
UNet++,88,0.9208158254623413
UNet++,89,0.9279757142066956
UNet++,90,1.0
UNet++,91,1.0
UNet++,92,1.0
UNet++,93,1.0
UNet++,94,1.0
UNet++,95,1.0
UNet++,96,0.0
